COD,BLOCO,DESCRIÇÃO ATUAL,TIPO,CAP,SITUAÇÃO
A103,A,SALA DE PROJETOS,LAB,15,A
A118,A,LAB. LAPRACA,LAB,20,A
A120,A,RESIDÊNCIA PEDAGÓGICA- QUÍMICA,LAB,20,A
A121,A,PIBID GEOGRAFIA,LAB,20,A
A127,A,LAB FÍSICA,LAB,20,A
A140,A,LAB. GEOGRAFIA,LAB,20,A
A142,A,ENACTUS,LAB,20,A
A143,A,EMPRESA JÚNIOR - ENCUBADORA,LAB,10,A
A148,A,ESTUDIO AUDIOVISUAL,LAB,10,A
A149,A,LAB. QUÍMICA GERAL E INORGÂNICA,LAB,20,A
B206,B,LAB. CAD,LAB,30,A
B216,B,LAB. GEOPROCESSAMENTO,LAB,30,A
B101,B,LAB. MICROBIOLOGIA,LAB,20,A
B101.1,B,SALA QUENTE,LAB,5,A
B102,B,LAB. QUALIDADE DO AR,LAB,5,A
B104,B,LAB. CENTRAL ANALÍTICA,LAB,10,A
B105,B,LAB. QUÍMICA MATERIAIS,LAB,20,A
B111,B,LAB. LÍNGUAS,LAB,30,A
B113,B,LAB. QUÍMICA ANALÍTICA,LAB,20,A
B115,B,LAB. DE SOLOS E MATERIAIS,LAB,20,A
C111,C,LAB. ENG. PRODUTO,LAB,30,A
C112,C,LAB. TEC. CONSTRUTIVAS,LAB,30,A
C114,C,LAB. MEC. FLÚIDOS,LAB,15,A
C115,C,LAB. HIDRÁULICA,LAB,15,A
C118,C,LAB. DESENHO TÉCNICO,LAB,40,A
A001,A,LEEABC,LAB,15,A
A002,A,LAREB,LAB,15,A
A106,A,SALA A106,SALA,30,I
A144,A,SALA A144,SALA,20,P
B201,B,SALA B201,SALA,40,A
B202,B,SALA B202,SALA,40,A
B204,B,SALA B204,SALA,40,A
B205,B,SALA B205,SALA,40,A
B211,B,SALA B211,SALA,40,A
B212,B,SALA B212,SALA,40,A
B213,B,SALA B213,SALA,40,A
B214,B,SALA B214,SALA,40,A
B215,B,SALA B215,SALA,40,A
C201,C,SALA C201,SALA,20,A
C202,C,SALA C202,SALA,20,A
C203,C,SALA C203,SALA,20,A
C204,C,SALA C204,SALA,20,A
C205,C,SALA C205,SALA,20,A
C206,C,SALA C206,SALA,20,A
C207,C,SALA C207,SALA,20,A
C208,C,SALA C208,SALA,20,A
C209,C,SALA C209,SALA,20,A
C210,C,SALA C210,SALA,20,A
C211,C,SALA C211,SALA,20,A
C212,C,SALA C212,SALA,20,A
C214,C,SALA C214,SALA,40,A
C215,C,SALA C215,SALA,40,A
C216,C,SALA C216,SALA,40,A
C101,C,SALA C101,SALA,40,A
C102,C,SALA C102,SALA,40,A
C103,C,SALA C103,SALA,40,A
C106,C,SALA C106,SALA,40,A
