TURMA;NOME;CURRICULOS;CURSO;TURNO;CREDITOS;PROFESSOR;NUMERO_PREVISTO_INSCRITOS;LABORATORIO_EXIGIDO;HORARIO_D;HORARIO_S;
T1;DESENHO ASSISTIDO POR COMPUTADOR;EC.S3.2019.2;EC;TARDE;4;ÁUREO FREIRE;>20;LAB. CAD;5;2;
T1;DESENHO ASSISTIDO POR COMPUTADOR;EC.S3.2019.2;EC;TARDE;4;ÁUREO FREIRE;>20;LAB. CAD;5;3;
T1;DESENHO ASSISTIDO POR COMPUTADOR;EC.S3.2019.2;EC;TARDE;4;ÁUREO FREIRE;>20;LAB. CAD;6;2;
T1;DESENHO ASSISTIDO POR COMPUTADOR;EC.S3.2019.2;EC;TARDE;4;ÁUREO FREIRE;>20;LAB. CAD;6;3;
T2;CAD;TSE.S2.2020.1;TSE;NOITE;4;ÁUREO FREIRE;<20;;9;2;
T2;CAD;TSE.S2.2020.1;TSE;NOITE;4;ÁUREO FREIRE;<20;;10;2;
T2;CAD;TSE.S2.2020.1;TSE;NOITE;4;ÁUREO FREIRE;<20;;11;3;
T2;CAD;TSE.S2.2020.1;TSE;NOITE;4;ÁUREO FREIRE;<20;;12;3;
T3;PROJETO ARQUITETÔNICO I;TSE.S3.2019.2;TSE;NOITE;4;ÁUREO FREIRE;<20;LAB. DESENHO TÉCNICO;9;3;
T3;PROJETO ARQUITETÔNICO I;TSE.S3.2019.2;TSE;NOITE;4;ÁUREO FREIRE;<20;LAB. DESENHO TÉCNICO;10;3;
T3;PROJETO ARQUITETÔNICO I;TSE.S3.2019.2;TSE;NOITE;4;ÁUREO FREIRE;<20;LAB. DESENHO TÉCNICO;11;4;
T3;PROJETO ARQUITETÔNICO I;TSE.S3.2019.2;TSE;NOITE;4;ÁUREO FREIRE;<20;LAB. DESENHO TÉCNICO;12;4;
T4;PROJETO ARQUITETÔNICO II ;TIE.S7.2019.2;TIE;TARDE;4;ÁUREO FREIRE;<20;LAB. CAD;5;4;
T4;PROJETO ARQUITETÔNICO II ;TIE.S7.2019.2;TIE;TARDE;4;ÁUREO FREIRE;<20;LAB. CAD;6;4;
