TURMA,NOME,CURRÍCULOS ,CURSO,TURNO,CREDITOS,PROFESSOR,INSCRITOS,LABORATORIO
T1,DESENHO ASSISTIDO POR COMPUTADOR,EC.S3.2019.2,EC,TARDE,4,P10,>20,LAB. CAD
T2,CAD,TSE.S2.2020.1,TSE,NOITE,4,P10,<20,
T3,PROJETO ARQUITETÔNICO I,TSE.S3.2019.2,TSE,NOITE,4,P10,<20,LAB. DESENHO TÉCNICO
T4,PROJETO ARQUITETÔNICO II ,TIE.S7.2019.2,TIE,TARDE,4,P10,<20,LAB. CAD
T5,FÍSICA III,EC.S4.2019.2,EC,MANHA,4,P1,>20,
T6,FÍSICA I,EC.S1.RETIDOS.2019.2,EC,MANHA,4,P1,<20,
T7,FÍSICA BÁSICA,TSE.S1.2019.2,TSE,NOITE,2,P1,<20,
T8,ELETRICIDADE BÁSICA,TSE.S2.2020.1,TSE,NOITE,2,P1,>20,
T9,FÍSICA III ,TIE.S3.2020.1,TIE,TARDE,1,P1,>20,
T10,FÍSICA III ,TIE.S3.2020.1,TIE,TARDE,2,P1,>20,
T11,FÍSICA II,TIQ.S2.RETIDOS.2020.1/TIE.S2.RETIDOS.2020.1,OFERTA CONJUNTA,MANHA,4,P1,<20,
T12,QUÍMICA TECNOLÓGICA,EPC.S1.2020.1,EPC,MANHA,4,P2,>20,
T13,QUÍMICA APLICADA,EC.S1.2020.1,EC,TARDE,4,P2,<20,
T14,QUÍMICA ANALÍTICA,TMA.S1.2020.1,TMA,NOITE,4,P2,<20,
T15,QUÍMICA I ,TIE.S1.2020.1,TIE,TARDE,2,P2,>20,
T16,QUÍMICA INORGÂNICA,TSQ.S2.2020.1,TSQ,NOITE,2,P2,>20,
T17,LABORATÓRIO DE QUÍMICA INORGÂNICA,TSQ.S3.RETIDOS.2020.1,TSQ,NOITE,2,P2,<20,LAB. QUÍMICA GERAL E INORGÂNICA
T18,QUÍMICA II ,TIE.S2.RETIDOS.2020.1,TIE,MANHA,2,P2,<20,
T19,QUÍMICA ORGÂNICA,EAS.S3.2019.2,EAS,TARDE,4,P3,<20,
T20,QUÍMICA ORGÂNICA II,LIQ.S4.2019.2,LIQ,MANHA,4,P3,<20,
T21,QUÍMICA ORGÂNICA III,LIQ.S8.2019.2,LIQ,NOITE,4,P3,<20,
T22,ANÁLISE INSTRUMENTAL,LIQ.S10.2019.2,LIQ,TARDE,2,P3,<20,
T23,CÁLCULO I,EPC.S1.2020.1,EPC,MANHA,4,P4,>20,
T24,MÉTODOS NUMÉRICOS PARA ENGENHARIA CIVIL,EC.S4.2019.2,EC,MANHA,2,P4,>20,
T25,CÁLCULO I,EAS.S1.2020.1,EAS,TARDE,4,P4,>20,
T26,CÁLCULO I,LIQ.S2.2020.1,LIQ,MANHA,4,P4,<20,
T27,MATEMÁTICA BÁSICA,TSE.S1.2019.2,TSE,NOITE,2,P4,<20,
T28,ESTATÍSTICA APLICADA,TMA.S2.2020.1,TMA,NOITE,2,P4,<20,
T29,INTRODUÇÃO A LIBRAS,EPC.S8.2019.2,EPC,TARDE,2,P5,<20,
T30,FUNDAMENTOS DE EDUCAÇÃO PARA SURDOS,LIQ.S7.2019.2,LIQ,NOITE,2,P5,<20,
T31,INTRODUÇÃO À LIBRAS,LIQ.S10.2019.2,LIQ,TARDE,2,P5,<20,
T32,LIBRAS,LG.S5.2019.2,LG,NOITE,2,P5,>20,
T33,ASPECTOS FITOGEOGRÁFICOS,EAS.S5.2019.2,EAS,TARDE,2,P6,<20,
T34,RECUPERAÇÃO DE ÁREAS DEGRADADAS,EAS.S9.2019.2,EAS,MANHA,4,P6,<20,
T35,ECOLOGIA,LG.S2.2019.2,LG,NOITE,2,P6,>20,
T36,FITOGEOGRAFIA,LG.S5.2019.2,LG,NOITE,2,P6,<20,
T37,BIOLOGIA GERAL,TMA.S1.2020.1,TMA,NOITE,2,P6,>20,
T38,ECOLOGIA E POLUIÇÃO,TMA.S2.2020.1,TMA,NOITE,4,P6,>20,
T39,FÍSICA III,EPC.S4.2019.2,EPC,TARDE,4,P7,<20,
T40,FÍSICA II,EC.S3.2020.1,EC,MANHA,4,P7,>20,
T41,FÍSICA II,EAS.S3.2019.2,EAS,TARDE,4,P7,>20,
T42,FÍSICA GERAL II,LIQ.S4.2019.2,LIQ,MANHA,4,P7,<20,
T43,FÍSICA I ,TIE.S1.2020.1,TIE,TARDE,4,P7,>20,
T44,MECÂNICA I,EPC.S3.2019.2/EC.S3.2019.2,OFERTA CONJUNTA,MANHA,4,P8,>20,
T45,ELABORAÇÃO DO TRAB. C. CURSO,EPC.S10.2019.2,EPC,MANHA,2,P8,<20,
T46,HIDRÁULICA,EAS.S6.2019.2,EAS,MANHA,2,P8,<20,LAB. HIDRÁULICA
T47,SISTEMA DE ABASTECIMENTO DE ÁGUA,EAS.S10.2019.2,EAS,MANHA,4,P8,<20,LAB. CAD
T48,MECÂNICA I,EPC.S3.2020.1/EC.S3.2020.1,OFERTA CONJUNTA,TARDE,4,P8,>20,
