CURRICULO,CURSO,SEMESTRE,CALENDARIO LETIVO
EAS.S1.2020.1,EAS,S1,2020.1
EAS.S1.RETIDOS.2020.1,EAS,S1.RETIDOS,2020.1
EAS.S10.2019.2,EAS,S10,2019.2
EAS.S2.2020.1,EAS,S2,2020.1
EAS.S3.2019.2,EAS,S3,2019.2
EAS.S4.2019.2,EAS,S4,2019.2
EAS.S5.2019.2,EAS,S5,2019.2
EAS.S6.2019.2,EAS,S6,2019.2
EAS.S7.2019.2,EAS,S7,2019.2
EAS.S8.2019.2,EAS,S8,2019.2
EAS.S9.2019.2,EAS,S9,2019.2
EC.S1.RETIDOS.2019.2,EC,S1.RETIDOS,2019.2
EC.S1.2020.1,EC,S1,2020.1
EC.S2.RETIDOS.2019.2,EC,S2.RETIDOS,2019.2
EC.S3.2019.2,EC,S3,2019.2
EC.S3.2020.1,EC,S3,2020.1
EC.S4.2019.2,EC,S4,2019.2
EPC.S1.2020.1,EPC,S1,2020.1
EPC.S10.2019.2,EPC,S10,2019.2
EPC.S3.2019.2,EPC,S3,2019.2
EPC.S3.2020.1,EPC,S3,2020.1
EPC.S4.2019.2,EPC,S4,2019.2
EPC.S5.2019.2,EPC,S5,2019.2
EPC.S6.2019.2,EPC,S6,2019.2
EPC.S7.2019.2,EPC,S7,2019.2
EPC.S8.2019.2,EPC,S8,2019.2
EPC.S9.2019.2,EPC,S9,2019.2
LG.S1.2019.2,LG,S1,2019.2
LG.S2.2019.2,LG,S2,2019.2
LG.S3.2019.2,LG,S3,2019.2
LG.S4.2019.2,LG,S4,2019.2
LG.S5.2019.2,LG,S5,2019.2
LG.S6.2019.2,LG,S6,2019.2
LG.S7.2019.2,LG,S7,2019.2
LG.S8.2019.2,LG,S8,2019.2
LIQ.S1.2020.1,LIQ,S1,2020.1
LIQ.S10.2019.2,LIQ,S10,2019.2
LIQ.S2.2020.1,LIQ,S2,2020.1
LIQ.S3.2019.2,LIQ,S3,2019.2
LIQ.S4.2019.2,LIQ,S4,2019.2
LIQ.S5.2019.2,LIQ,S5,2019.2
LIQ.S6.2019.2,LIQ,S6,2019.2
LIQ.S7.2019.2,LIQ,S7,2019.2
LIQ.S8.2019.2,LIQ,S8,2019.2
TIE.S1.2020.1,TIE,S1,2020.1
TIE.S2.RETIDOS.2020.1,TIE,S2.RETIDOS,2020.1
TIE.S3.2020.1,TIE,S3,2020.1
TIE.S4.RETIDOS.2019.2,TIE,S4.RETIDOS,2019.2
TIE.S5.2020.1,TIE,S5,2020.1
TIE.S7.2019.2,TIE,S7,2019.2
TIQ.S1.2020.1,TIQ,S1,2020.1
TIQ.S1.RETIDOS.2020.1,TIQ,S1.RETIDOS,2020.1
TIQ.S2.RETIDOS.2020.1,TIQ,S2.RETIDOS,2020.1
TIQ.S3.2020.1,TIQ,S3,2020.1
TIQ.S5.2020.1,TIQ,S5,2020.1
TIQ.S7.2019.2,TIQ,S7,2019.2
TIQ.S8.RETIDOS.2019.2,TIQ,S8.RETIDOS,2019.2
TMA.S1.2020.1,TMA,S1,2020.1
TMA.S2.2020.1,TMA,S2,2020.1
TMA.S4.2020.1,TMA,S4,2020.1
TSE.S1.2019.2,TSE,S1,2019.2
TSE.S2.2020.1,TSE,S2,2020.1
TSE.S3.2019.2,TSE,S3,2019.2
TSE.S4.2020.1,TSE,S4,2020.1
TSQ.S2.2020.1,TSQ,S2,2020.1
TSQ.S3.RETIDOS.2020.1,TSQ,S3.RETIDOS,2020.1
TSQ.S4.2020.1,TSQ,S4,2020.1
